racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM,hot_code,raceid,order_of_finish_num,popularity_num,horse_weight_num,tanshou_odds_num,tanshou_odds_at10_num,IDM_num,hot_code_num,tanshou_flag
615180109,1210457920150124,ヴィアージェン　　　　　　　　　　　,7,4,500,8.1,1.9,7.3,2.1,27,3,6151801,7,4,500,8.1,7.3,27.0,3.0,False
615180110,1210171520150124,セイウンオセアン　　　　　　　　　　,3,1,454,2.2,1.1,2.5,1.1,33,3,6151801,3,1,454,2.2,2.5,33.0,3.0,False
615180111,1210587920150124,ダイニヨシゼン　　　　　　　　　　　,5,3,474,6.3,1.8,7.5,1.6,31,3,6151801,5,3,474,6.3,7.5,31.0,3.0,False
615180112,1210504020150124,ジェロニモ　　　　　　　　　　　　　,6,5,468,8.8,1.7,10.2,2.2,30,3,6151801,6,5,468,8.8,10.2,30.0,3.0,False
615180114,1210914920150124,サンローガン　　　　　　　　　　　　,10,7,452,26.4,4.8,22.7,3.9,19,3,6151801,10,7,452,26.4,22.7,19.0,3.0,False
615180115,1210568120150124,リワードセロン　　　　　　　　　　　,8,13,418,204.3,24.7,83.5,15.4,24,3,6151801,8,13,418,204.3,83.5,24.0,3.0,False
615180116,1210036120150124,ディアドナテロ　　　　　　　　　　　,1,10,466,35.2,5,34.9,10,38,3,6151801,1,10,466,35.2,34.9,38.0,3.0,True
615180201,1210108420150124,トーセンテレマーク　　　　　　　　　,4,15,492,286.7,37.9,161.8,14.7,27,3,6151802,4,15,492,286.7,161.8,27.0,3.0,False
615180202,1210623820150124,ピースワンポイント　　　　　　　　　,11,6,506,19,3,17.8,4.4,14,3,6151802,11,6,506,19.0,17.8,14.0,3.0,False
615180203,1210644020150124,ジーアイウォーカー　　　　　　　　　,12,2,480,4.3,1.5,3.5,1.3,14,3,6151802,12,2,480,4.3,3.5,14.0,3.0,False
615180204,1210250520150124,タマーラ　　　　　　　　　　　　　　,16,12,440,105.7,19.6,75.1,10.7,-22,3,6151802,16,12,440,105.7,75.1,-22.0,3.0,False
615180205,1210489220150124,エレガントソング　　　　　　　　　　,8,11,468,59,11,19.4,3.9,19,3,6151802,8,11,468,59.0,19.4,19.0,3.0,False
615180206,1210545420150124,テイケイネクサス　　　　　　　　　　,7,4,442,8.4,1.7,13.8,2,19,3,6151802,7,4,442,8.4,13.8,19.0,3.0,False
615180207,1210107820150124,トーセンアプローズ　　　　　　　　　,6,14,492,251.8,24,122.1,11.2,23,3,6151802,6,14,492,251.8,122.1,23.0,3.0,False
615180208,1210155820150124,タンジブル　　　　　　　　　　　　　,2,1,500,2.5,1.1,2.8,1.1,37,3,6151802,2,1,500,2.5,2.8,37.0,3.0,False
615180209,1210474520150124,アドマイヤドラゴン　　　　　　　　　,3,9,478,24.7,3.8,21.6,2.7,35,3,6151802,3,9,478,24.7,21.6,35.0,3.0,False
615180210,1210516120150124,コスモアルドラ　　　　　　　　　　　,10,8,534,22.2,4,21.3,4.7,17,3,6151802,10,8,534,22.2,21.3,17.0,3.0,False
615180211,1210594320150124,ミヤビクロタカ　　　　　　　　　　　,13,13,486,144,24.9,73.4,14.9,10,3,6151802,13,13,486,144.0,73.4,10.0,3.0,False
615180212,1210278520150124,フォルサ　　　　　　　　　　　　　　,5,3,498,5.3,1.6,9.4,2,23,3,6151802,5,3,498,5.3,9.4,23.0,3.0,False
