racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
1016150903,1111009320160227,アースコネクター　　　　　　　　　　,1,1,500,2.5,1.1,2.7,1.3,55
1016150904,1211007920160227,カフジオリオン　　　　　　　　　　　,9,2,470,4.7,1.6,9.5,2.9,42
1016150905,1210919720160227,キリシマツバサ　　　　　　　　　　　,14,15,478,286.8,39.6,73,7.3,40
1016150906,1210362620160227,ネオアルカディア　　　　　　　　　　,15,14,480,277.5,42.7,82,7.4,-34
1016150907,1110596820160227,ジュガンティーヤ　　　　　　　　　　,6,6,524,16.1,2.9,15.4,3.1,47
1016150908,1110533720160227,ゼンノスサノヲ　　　　　　　　　　　,10,11,476,37.6,6.5,22.6,6.6,42
1016150909,1210160620160227,エッジクリフ　　　　　　　　　　　　,8,5,514,13.4,3.1,15.4,3,43
1016150910,1010265120160227,コウエイアース　　　　　　　　　　　,13,13,474,202.9,18.1,134.1,10.4,39
1016150911,1210028620160227,クリノダイシャリン　　　　　　　　　,4,12,504,115.7,13.3,62.3,6.4,46
1016150912,1211008120160227,ショウナンアイ　　　　　　　　　　　,7,8,464,26.5,5.4,15.2,2.9,45
1016150913,1110901020160227,カシノカーム　　　　　　　　　　　　,5,7,486,16.7,2.9,14.4,2.9,47
1016150914,1210435020160227,クロイツェル　　　　　　　　　　　　,11,9,482,32.8,6.3,24.6,5.1,41
1016150915,1210295620160227,マッシヴランナー　　　　　　　　　　,2,3,508,6,1.6,4,1.7,48
1016151001,1110408020160227,ムーントラベラー　　　　　　　　　　,16,16,436,212.5,34,47.1,13,34
1016151002,1210229620160227,ルアンジュ　　　　　　　　　　　　　,3,7,476,13.6,3,7,2.5,50
1016151003,1110445120160227,セレナビアンカ　　　　　　　　　　　,7,6,452,13.3,2.6,11.2,3.6,47
1016151004,1110425620160227,カレンリスベット　　　　　　　　　　,14,1,486,3.3,1.5,4.7,1.8,42
1016151005,1210559820160227,メイショウサワヤカ　　　　　　　　　,13,8,464,19.3,4,18.9,3.3,43
1016151006,1210469720160227,ノーブルソニック　　　　　　　　　　,10,2,468,3.8,1.4,5.8,2.3,45
1016151007,1210522220160227,ウインレナータ　　　　　　　　　　　,8,15,436,208.6,33.1,81.7,19.7,45
1016151008,1110146720160227,コスモメリー　　　　　　　　　　　　,9,9,442,28.1,5.7,23.5,4.2,45
1016151009,1210407820160227,アプリコットベリー　　　　　　　　　,6,4,394,12.5,2.8,7.6,2.1,47
1016151010,1110082220160227,デルマサリーチャン　　　　　　　　　,12,14,474,120.5,13.9,71.4,13.1,44
1016151011,1110378120160227,フェイトカラー　　　　　　　　　　　,5,5,520,13,3.4,16.1,4.4,49
1016151012,1110505320160227,ヤマニンバステト　　　　　　　　　　,2,3,466,5.1,1.6,9.4,2.7,53
1016151013,1110174920160227,マルーンドロップ　　　　　　　　　　,1,10,458,31.3,5.1,14.7,3.9,54
1016151014,1110641720160227,ツキミチャン　　　　　　　　　　　　,15,13,444,76.9,14.2,32.9,6.9,41
1016151015,1210475020160227,アマレッティ　　　　　　　　　　　　,4,11,468,39.2,6.6,16.3,4.9,48
1016151016,1210198620160227,サトノマジカル　　　　　　　　　　　,11,12,420,45.1,6.4,24.5,6,44
1016151101,1210466520160227,ブライトバローズ　　　　　　　　　　,1,1,490,2.9,1.2,3.3,1.5,59
1016151102,1210347220160227,ゼットスマイル　　　　　　　　　　　,3,8,504,18.6,3.3,12.1,2.4,54
1016151103,1110015520160227,カウニスクッカ　　　　　　　　　　　,12,11,466,67.6,12,26.8,6.6,37
1016151104,1210408620160227,ワーキングプライド　　　　　　　　　,10,3,500,7.7,2.2,10.8,3.6,48
1016151105,1110640520160227,ギブアンドテイク　　　　　　　　　　,6,10,502,55.6,8.3,23.6,5,53
1016151106,910571020160227,パリソワール　　　　　　　　　　　　,13,13,440,140,18.3,60.6,11.1,15
1016151107,1110510720160227,クールオープニング　　　　　　　　　,9,7,468,14.3,3.1,10.6,2.8,51
1016151108,1010424820160227,ラルプデュエズ　　　　　　　　　　　,7,5,502,8.9,2.1,9,2,53
1016151109,1010619520160227,スペキュレイター　　　　　　　　　　,8,2,504,3.8,1.4,5.1,1.6,51
1016151110,1010196520160227,メイショウブシン　　　　　　　　　　,4,4,482,7.8,1.8,8,2.5,54
1016151111,1110379420160227,エクストレミティー　　　　　　　　　,2,9,504,30.9,5.5,25.1,5.3,56
1016151112,1010905120160227,レイトライザー　　　　　　　　　　　,5,6,464,14.2,2.6,11.4,2.8,54
1016151113,1010370420160227,オリジナルスマイル　　　　　　　　　,11,12,524,83.8,9.6,26.2,5,48
1016151201,1210255720160227,ジャミールカズマ　　　　　　　　　　,13,11,496,45.7,10.4,28.2,5.3,44
1016151202,1110140620160227,マサノハナチャン　　　　　　　　　　,8,5,444,9.9,2.2,12.2,3.5,47
1016151203,1110376220160227,レッドルシアン　　　　　　　　　　　,15,14,442,63.2,10.9,30.4,7.2,42
1016151204,1210201720160227,アレスバローズ　　　　　　　　　　　,5,1,492,3.6,1.5,4.3,2.7,50
1016151205,1110224620160227,オーバーチュア　　　　　　　　　　　,17,17,440,157.9,29.5,46.3,8.9,38
1016151206,1010289020160227,ジンセイハオマツリ　　　　　　　　　,9,13,490,50,8.4,25.2,5.9,46
1016151207,1210211120160227,ユリ　　　　　　　　　　　　　　　　,16,18,398,175.3,40.5,92.6,18.5,38
1016151208,1110111720160227,ムーンドロップ　　　　　　　　　　　,10,8,458,20.3,4.2,21.5,4.8,46
1016151209,1210568920160227,リッパーザウィン　　　　　　　　　　,1,2,508,4.1,1.5,6.6,2.1,54
1016151210,1110318720160227,シニョリーナ　　　　　　　　　　　　,11,16,456,132.2,22.8,49.7,8.4,45
1016151211,1210558720160227,リリーヴィクトリー　　　　　　　　　,3,6,494,14.5,3.7,7.3,2.4,51
1016151212,1110610220160227,ヴァッフシュテルケ　　　　　　　　　,7,7,484,19.1,3.8,18.9,4.8,48
1016151213,1210473020160227,デュアルメジャー　　　　　　　　　　,6,9,486,31.7,6.8,18,5,49
